Country,Year,Population,Population of children under the age of 1,Population of children under the age of 5,Population of children under the age of 15,Population under the age of 25,Population aged 15 to 64 years,Population older than 15 years,Population older than 18 years,Population at age 1,Population aged 1 to 4 years,Population aged 5 to 9 years,Population aged 10 to 14 years,Population aged 15 to 19 years,Population aged 20 to 29 years,Population aged 30 to 39 years,Population aged 40 to 49 years,Population aged 50 to 59 years,Population aged 60 to 69 years,Population aged 70 to 79 years,Population aged 80 to 89 years,Population aged 90 to 99 years,Population older than 100 years
Cape Verde,2018,571209,10320.0,52056,159164,272436,382060,412013,380051,10566.0,41736.0,53498,53610,54489,116813,91515,58304,46080,23753,11491,8370,1198,32.0
Cayman Islands,2018,64904,791.0,4195,11132,18441,49233,53770,51957,827.0,3404.0,3863,3074,3146,9446,12411,12412,9137,4558,1970,606,84,2.0
Central African Republic,2018,5094795,199301.0,914166,2475058,3562918,2498721,2619736,2234033,186587.0,714865.0,834108,726784,617463,807440,453067,297736,236177,146914,49890,10582,467,1.0
Chad,2018,15604213,646437.0,2992688,7502304,10517754,7785176,8101878,7076007,614824.0,2346251.0,2478135,2031481,1652325,2478051,1619113,1147790,679569,348292,140503,34044,2191,31.0
Chile,2018,18701452,224016.0,1175915,3572469,6297219,12909544,15126338,14385058,229412.0,951899.0,1223327,1173227,1265983,3024819,2840276,2566271,2283734,1680532,924291,441035,99397,2645.0
China,2018,1417069400,16853878.0,88891210,260606880,427163650,993782300,1156434800,1108832100,18200252.0,72037330.0,89635310,82080360,79819810,199880270,214792960,223686300,194340140,146260270,67315700,27084496,3254925,27708.0
Colombia,2018,49276970,726355.0,3646480,11244835,19802096,34124176,38030940,35539092,728921.0,2920125.0,3694846,3903509,4199028,8640222,7609296,6210737,5457483,3508988,1733981,603738,67468,1190.0
Comoros,2018,776322,23006.0,111138,302062,455218,441142,474259,424981,22509.0,88132.0,102087,88837,81039,133110,96610,67253,47852,28473,15626,4077,219,1.0
Congo,2018,5441061,170565.0,838979,2287080,3264571,3013039,3153976,2823488,168288.0,668414.0,798454,649647,528950,853155,708971,514800,314588,153059,62070,17050,1333,5.0
Cook Islands,2018,17276,292.0,1466,4278,6845,11218,12998,12172,295.0,1174.0,1443,1369,1343,2370,2068,2236,2336,1559,803,256,27,0.0
Costa Rica,2018,5040738,68548.0,350639,1086805,1881136,3471414,3953786,3726135,69295.0,282091.0,368436,367730,385696,833847,805826,643547,582258,389984,215622,86244,10762,147.0
Cote d'Ivoire,2018,25493990,851027.0,4006538,10901598,16077298,13983885,14592236,12836234,820769.0,3155511.0,3643698,3251362,2841836,4290387,3131813,2182712,1174201,613827,264918,83161,9381,156.0
Croatia,2018,4160488,36979.0,187485,593013,1048941,2709113,3567153,3446427,36930.0,150506.0,205802,199726,211209,492558,560541,548451,593300,567910,367148,199961,26075,322.0
